id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.district,children_count.county,children_count.subcounty,zip_codes,geo.lat,geo.lon
UG2029,2,District,District,Bududa,Bududa,bududa-ug2029,UG2029,,UG2,Eastern,Eastern,,,1,17,,1.026,34.391
UG202901,3,County,County,Manjiya,Manjiya,manjiya-ug202901,UG202901,,UG2029,Bududa,Bududa,,,,17,,1.026,34.391
UG2030,2,District,District,Bugiri,Bugiri,bugiri-ug2030,UG2030,,UG2,Eastern,Eastern,,,2,12,,0.519,33.773
UG203001,3,County,County,Bugiri Municipality,Bugiri Municipality,bugiri-municipality-ug203001,UG203001,,UG2030,Bugiri,Bugiri,,,,2,,0.563,33.753
UG203002,3,County,County,Bukooli,Bukooli,bukooli-ug203002,UG203002,,UG2030,Bugiri,Bugiri,,,,10,,0.519,33.773
UG2031,2,District,District,Bugweri,Bugweri,bugweri-ug2031,UG2031,,UG2,Eastern,Eastern,,,1,7,,0.622,33.616
UG203101,3,County,County,Bugweri,Bugweri,bugweri-ug203101,UG203101,,UG2031,Bugweri,Bugweri,,,,7,,0.622,33.616
UG2032,2,District,District,Bukedea,Bukedea,bukedea-ug2032,UG2032,,UG2,Eastern,Eastern,,,1,6,,1.369,34.142
UG203201,3,County,County,Bukedea,Bukedea,bukedea-ug203201,UG203201,,UG2032,Bukedea,Bukedea,,,,6,,1.369,34.142
UG2033,2,District,District,Bukwo,Bukwo,bukwo-ug2033,UG2033,,UG2,Eastern,Eastern,,,1,12,,1.27,34.698
UG203301,3,County,County,Kongasis,Kongasis,kongasis-ug203301,UG203301,,UG2033,Bukwo,Bukwo,,,,12,,1.27,34.698
UG2034,2,District,District,Bulambuli,Bulambuli,bulambuli-ug2034,UG2034,,UG2,Eastern,Eastern,,,1,20,,1.348,34.279
UG203401,3,County,County,Bulambuli,Bulambuli,bulambuli-ug203401,UG203401,,UG2034,Bulambuli,Bulambuli,,,,20,,1.348,34.279
UG2035,2,District,District,Busia,Busia,busia-ug2035,UG2035,,UG2,Eastern,Eastern,,,2,16,,0.391,34.016
